LOCALIDAD;Lon;Lat;Province
LEPE;-7.23722306;37.21445889;HUELVA
MOGUER;-6.82722222;37.13805556;HUELVA
MAZAGON;-6.81;37.13;HUELVA
PALOS DE LA FRONTERA;-6.9037;37.19006389;HUELVA
PUNTA UMBRIA;-6.97277778;37.1825;HUELVA
PUNTA UMBRIA;-6.95636111;37.17872222;HUELVA
PUNTA UMBRIA;-7.01986389;37.20705833;HUELVA
PUNTA UMBRIA;-6.98151111;37.18565833;HUELVA
PUNTA UMBRIA;-7.04825278;37.21088611;HUELVA
LUCENA DEL PUERTO;-6.72638889;37.10138889;HUELVA
PUNTA UMBRIA;-6.963625;37.1789;HUELVA
CARTAYA;-7.1475;37.29277778;HUELVA
PUNTA UMBRIA;-6.98418611;37.18926111;HUELVA
ISLANTILLA;-7.24227778;37.20589167;HUELVA
EL ROMPIDO;-7.13675833;37.2249;HUELVA
LA REDONDELA;-7.26888889;37.22666667;HUELVA
PUNTA UMBRIA;-6.960575;37.18138056;HUELVA
PALOS DE LA FRONTERA;-6.88231944;37.22291667;HUELVA
MAZAGON;-6.79958056;37.12527222;HUELVA
MATALASCAï¿½AS;-6.56195;37.00509722;HUELVA
ALJARAQUE;-7.00638889;37.26666667;HUELVA
MOGUER;-6.82278333;37.25968333;HUELVA
ISLA CRISTINA;-7.30499722;37.19827222;HUELVA
PUNTA UMBRIA;-6.96694444;37.18166389;HUELVA
PUNTA UMBRIA;-6.95193611;37.17460278;HUELVA
EL ROCIO;-6.49369167;37.14295;HUELVA
LA RABIDA;-6.90577778;37.20844444;HUELVA
MAZAGON;-6.80663889;37.13547222;HUELVA
ALMONTE;-6.50777944;37.25305722;HUELVA
MOGUER;-6.83472222;37.2775;HUELVA
ISLANTILLA;-7.227075;37.20608611;HUELVA
ALMONTE;-6.53145833;37.26865278;HUELVA
MOGUER;-6.83502222;37.28049167;HUELVA
PALOS DE LA FRONTERA;-6.89763889;37.222725;HUELVA
ALMONTE;-6.48611111;37.13611111;HUELVA
ISLA CRISTINA;-7.23478889;37.20628056;HUELVA
LEPE;-7.25462222;37.27761944;HUELVA
LEPE;-7.20972222;37.30833333;HUELVA
LEPE;-7.21111111;37.25111111;HUELVA
LEPE;-7.20083333;37.25666667;HUELVA
ALMONTE;-6.55125;37.00538889;HUELVA
ALMONTE;-6.62583333;37.17611111;HUELVA
ALMONTE;-6.44194444;36.99111111;HUELVA
SANTAELLA;-4.87194556;37.46697222;CORDOBA
GIBRALEï¿½N;-6.96777778;37.38333333;HUELVA
CARTAYA;-7.07055556;37.32194444;HUELVA
LEPE;-7.21111111;37.25111111;HUELVA
ISLA CRISTINA;-7.31138889;37.24444444;HUELVA
CADIZ;-6.285;36.52583333;CADIZ
EL PUERTO DE SANTA MARIA;-6.26916667;36.59222222;CADIZ
HUELVA;-6.95366667;37.26811111;HUELVA
HUELVA;-6.94177778;37.28116667;HUELVA
HUELVA;-6.89527778;37.31333333;HUELVA
MOGUER;-6.83472222;37.2775;HUELVA
HUELVA;-6.94583333;37.25611111;HUELVA
HUELVA;-6.92790278;37.26393056;HUELVA
PALOS DE LA FRONTERA;-6.89763889;37.222725;HUELVA
HUELVA;-6.94083333;37.26708333;HUELVA
HUELVA;-6.94616667;37.26047222;HUELVA
CORDOBA;-4.78311111;37.88422222;CORDOBA
CHICLANA DE LA FRONTERA;-6.14472222;36.415;CADIZ
CORDOBA;-4.80666667;37.80333333;CORDOBA
CORDOBA;-4.77033333;37.89644444;CORDOBA
CORDOBA;-4.71583333;37.90555556;CORDOBA
CORDOBA;-4.64361111;37.92666667;CORDOBA
CORDOBA;-4.76408333;37.88425;CORDOBA
CORDOBA;-4.78127778;37.89152778;CORDOBA
CORDOBA;-4.82388889;37.88361111;CORDOBA
CORDOBA;-4.91166667;37.85194444;CORDOBA
PRIEGO DE CORDOBA;-4.19722222;37.43833333;CORDOBA
BARBATE;-5.92083333;36.19194444;CADIZ
JEREZ DE LA FRONTERA;-6.1375;36.68305556;CADIZ
CORDOBA;-4.77769444;37.88555556;CORDOBA
CORDOBA;-4.79319;37.88606611;CORDOBA
PUENTE GENIL;-4.77;37.39111111;CORDOBA
MONTILLA;-4.63833333;37.58861111;CORDOBA
ISLA CRISTINA;-7.31833333;37.2;HUELVA
JEREZ DE LA FRONTERA;-6.10277778;36.65916667;CADIZ
JEREZ DE LA FRONTERA;-6.07555556;36.63388889;CADIZ
PUERTO REAL;-6.13916667;36.55;CADIZ
PUERTO REAL;-6.19305556;36.53194444;CADIZ
CADIZ;-6.27586111;36.50916667;CADIZ
JEREZ DE LA FRONTERA;-6.09807778;36.70167667;CADIZ
CADIZ;-6.29611111;36.535;CADIZ
CHICLANA DE LA FRONTERA;-6.17416667;36.39388889;CADIZ
JEREZ DE LA FRONTERA;-6.06777778;36.75166667;CADIZ
JEREZ DE LA FRONTERA;-6.06388889;36.81416667;CADIZ
JEREZ DE LA FRONTERA;-6.12233333;36.68283333;CADIZ
